timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1561393782351,472,HTTP Request-0,301,Moved Permanently,yogitest 1-47,,true,,279,115,36,36,http://yoginth.com/,472,0,225
1561393782824,2825,HTTP Request-1,200,OK,yogitest 1-47,text,true,,7982,115,36,36,https://yoginth.com/,2793,0,1186
1561393782350,3361,HTTP Request,200,OK,yogitest 1-32,text,true,,8268,230,35,35,https://yoginth.com/,435,0,217
1561393782350,435,HTTP Request-0,301,Moved Permanently,yogitest 1-32,,true,,279,115,35,35,http://yoginth.com/,435,0,217
1561393782786,2925,HTTP Request-1,200,OK,yogitest 1-32,text,true,,7989,115,35,35,https://yoginth.com/,2904,0,1215
1561393782349,3402,HTTP Request,200,OK,yogitest 1-50,text,true,,8261,230,34,34,https://yoginth.com/,463,0,227
1561393782349,463,HTTP Request-0,301,Moved Permanently,yogitest 1-50,,true,,279,115,34,34,http://yoginth.com/,463,0,227
1561393782813,2938,HTTP Request-1,200,OK,yogitest 1-50,text,true,,7982,115,34,34,https://yoginth.com/,2920,0,1193
1561393782350,3467,HTTP Request,200,OK,yogitest 1-40,text,true,,8261,230,33,33,https://yoginth.com/,425,0,202
1561393782350,425,HTTP Request-0,301,Moved Permanently,yogitest 1-40,,true,,279,115,33,33,http://yoginth.com/,425,0,202
1561393782776,3041,HTTP Request-1,200,OK,yogitest 1-40,text,true,,7982,115,33,33,https://yoginth.com/,2999,0,1219
1561393782350,3505,HTTP Request,200,OK,yogitest 1-43,text,true,,8261,230,32,32,https://yoginth.com/,438,0,217
1561393782350,438,HTTP Request-0,301,Moved Permanently,yogitest 1-43,,true,,279,115,32,32,http://yoginth.com/,438,0,217
1561393782789,3066,HTTP Request-1,200,OK,yogitest 1-43,text,true,,7982,115,32,32,https://yoginth.com/,3029,0,1221
1561393782349,3538,HTTP Request,200,OK,yogitest 1-35,text,true,,8261,230,31,31,https://yoginth.com/,457,0,227
1561393782349,457,HTTP Request-0,301,Moved Permanently,yogitest 1-35,,true,,279,115,31,31,http://yoginth.com/,457,0,227
1561393782807,3080,HTTP Request-1,200,OK,yogitest 1-35,text,true,,7982,115,31,31,https://yoginth.com/,3048,0,1204
1561393782343,3597,HTTP Request,200,OK,yogitest 1-19,text,true,,8261,230,30,30,https://yoginth.com/,752,0,271
1561393782343,752,HTTP Request-0,301,Moved Permanently,yogitest 1-19,,true,,279,115,30,30,http://yoginth.com/,752,0,271
1561393783096,2844,HTTP Request-1,200,OK,yogitest 1-19,text,true,,7982,115,30,30,https://yoginth.com/,2807,0,1077
1561393782348,3667,HTTP Request,200,OK,yogitest 1-34,text,true,,8261,230,29,29,https://yoginth.com/,427,0,219
1561393782348,427,HTTP Request-0,301,Moved Permanently,yogitest 1-34,,true,,279,115,29,29,http://yoginth.com/,427,0,219
1561393782776,3239,HTTP Request-1,200,OK,yogitest 1-34,text,true,,7982,115,29,29,https://yoginth.com/,3203,0,1220
1561393782349,3705,HTTP Request,200,OK,yogitest 1-41,text,true,,8261,230,28,28,https://yoginth.com/,448,0,227
1561393782349,448,HTTP Request-0,301,Moved Permanently,yogitest 1-41,,true,,279,115,28,28,http://yoginth.com/,448,0,227
1561393782797,3257,HTTP Request-1,200,OK,yogitest 1-41,text,true,,7982,115,28,28,https://yoginth.com/,3144,0,1213
1561393782348,3748,HTTP Request,200,OK,yogitest 1-29,text,true,,8261,230,27,27,https://yoginth.com/,475,0,229
1561393782348,475,HTTP Request-0,301,Moved Permanently,yogitest 1-29,,true,,279,115,27,27,http://yoginth.com/,475,0,229
1561393782824,3272,HTTP Request-1,200,OK,yogitest 1-29,text,true,,7982,115,27,27,https://yoginth.com/,3233,0,1203
1561393782345,3826,HTTP Request,200,OK,yogitest 1-20,text,true,,8261,230,26,26,https://yoginth.com/,740,0,251
1561393782345,741,HTTP Request-0,301,Moved Permanently,yogitest 1-20,,true,,279,115,26,26,http://yoginth.com/,740,0,251
1561393783086,3085,HTTP Request-1,200,OK,yogitest 1-20,text,true,,7982,115,26,26,https://yoginth.com/,3042,0,1091
1561393782344,3868,HTTP Request,200,OK,yogitest 1-16,text,true,,8268,230,25,25,https://yoginth.com/,768,0,252
1561393782344,768,HTTP Request-0,301,Moved Permanently,yogitest 1-16,,true,,279,115,25,25,http://yoginth.com/,768,0,252
1561393783113,3099,HTTP Request-1,200,OK,yogitest 1-16,text,true,,7989,115,25,25,https://yoginth.com/,3063,0,1093
1561393782348,3902,HTTP Request,200,OK,yogitest 1-33,text,true,,8261,230,24,24,https://yoginth.com/,475,0,229
